x,y
-3.4464,-4.3979
-1.6779,-5.3427
0.3135,-5.5912
2.2651,-5.1215
3.9252,-3.9941
5.0661,-2.3461
5.585,-0.41
5.3583,1.5816
4.4668,3.3775
2.9855,4.7294
1.1273,5.4854
-0.878,5.5208
-2.7614,4.8451
-4.3086,3.5733
-5.294,1.8257
-5.5978,-0.1586
-5.1822,-2.1224
-4.0951,-3.8075
-2.4873,-5.003
-0.5641,-5.5617
1.4323,-5.3989
3.2525,-4.5586
4.6447,-3.1151
5.4521,-1.2787
5.5523,0.7255
4.9392,2.6366
3.6871,4.2033
1.9715,5.2415
-0.0035,5.588
-1.9776,5.2392
-3.6981,4.2052
-4.9319,2.6247
-5.5536,0.7191
-5.4504,-1.2856
-4.6472,-3.1246
-3.2354,-4.5467
-1.4286,-5.4124
0.5698,-5.5538
2.4966,-5.0058
4.1056,-3.8084
5.1849,-2.1159
5.5979,-0.1515
5.2919,1.8318
4.303,3.5778
2.7634,4.8618
0.8726,5.5316
-1.1319,5.4727
-2.9948,4.732
-4.446,3.353
-5.3476,1.5711
-5.5618,-0.4154
-5.0786,-2.3596
-3.9205,-3.9985
-2.2586,-5.1243
-0.3061,-5.5855
1.6803,-5.327
3.4597,-4.4034
4.79,-2.901
5.4647,-1.0178
5.5063,0.9807
4.8131,2.8626
3.4863,4.3659
1.7272,5.327
-0.2623,5.5939
-2.2181,5.142
-3.8883,4.0296
-5.0598,2.3996
-5.5809,0.4617
-5.3852,-1.5361
-4.4966,-3.3358
-3.0325,-4.7079
-1.1773,-5.4745
0.8284,-5.5384
2.7276,-4.8892
4.2642,-3.6029
5.2771,-1.874
5.5591,0.1066
5.2016,2.0744
4.1288,3.769
2.5388,4.9914
0.616,5.566
-1.3864,5.4257
-3.2102,4.5885
-4.6221,3.1616
-5.4401,1.3285
-5.559,-0.6747
-4.9531,-2.5861
-3.725,-4.1682
-2.0194,-5.2232
-0.0473,-5.5548
1.9253,-5.2454
3.6347,-4.2101
4.8888,-2.6601
5.5468,-0.7699
5.4386,1.2304
4.6756,3.082
3.2884,4.5328
1.4792,5.4011
-0.5191,5.5601
-2.4415,5.0097
-4.0635,3.8391
-5.1558,2.1593
-5.5963,0.2027
-5.2993,-1.7802
-4.3385,-3.5408
-2.8117,-4.843
-0.9231,-5.5234
1.079,-5.4689
2.9494,-4.756
4.44,-3.4126
5.3581,-1.6281
5.588,0.366
5.1,2.3131
3.951,3.9565
2.3054,5.1034
0.3569,5.5699
-1.6322,5.3443
-3.4148,4.4291
-4.7633,2.9447
-5.4874,1.0741
-5.4961,-0.9265
-4.8372,-2.8174
-3.5342,-4.3439
-1.7759,-5.311
0.2104,-5.5772
2.1705,-5.1623
3.8411,-4.0543
5.0029,-2.429
5.5541,-0.5107
5.3718,1.4792
4.5223,3.2905
3.0754,4.6799
1.2275,5.4638
-0.7775,5.5449
-2.6792,4.9076
-4.2381,3.6485
-5.2592,1.922
-5.5997,-0.0561
-5.2204,-2.0267
-4.1703,-3.7375
-2.5848,-4.9678
-0.6641,-5.5363
1.3277,-5.4013
3.1578,-4.6027
4.593,-3.2038
5.4276,-1.3788
5.5651,0.6238
4.9753,2.54
3.7673,4.1386
2.0671,5.2045
0.0993,5.5875
-1.8814,5.2745
-3.6206,4.2722
-4.8943,2.7214
-5.5105,0.8163
-5.4732,-1.1851
-4.6948,-3.0334
-3.3284,-4.5007
-1.5285,-5.3874
0.4695,-5.5803
2.4071,-5.0559
4.0353,-3.8829
5.1453,-2.2104
5.5793,-0.2538
5.3246,1.7347
4.3514,3.4854
2.8558,4.8171
0.9736,5.5147
-1.0331,5.5039
-2.9064,4.7838
-4.3911,3.4394
-5.343,1.6771
-5.5911,-0.3148
-5.0952,-2.2543
-3.964,-3.8976
-2.352,-5.0821
-0.4092,-5.585
1.5866,-5.3705
3.3743,-4.4613
4.7332,-2.9863
5.4745,-1.1237
5.5198,0.8787
4.8646,2.7741
3.5743,4.311
1.8205,5.2833
-0.1594,5.578
-2.1232,5.1819
-3.806,4.0915
-5.0148,2.4923
-5.5716,0.5637
-5.4124,-1.4373
-4.5582,-3.2532
-3.1181,-4.6516
-1.2773,-5.4497
0.7269,-5.5526
2.6345,-4.9324
4.2104,-3.6922
5.2188,-1.9616
5.6,0.0043
5.2292,1.9753
4.1965,3.6923
2.6244,4.9329
0.7178,5.5538
-1.2819,5.4312
-3.1134,4.6281
-4.5635,3.2457
-5.4148,1.4284
-5.5706,-0.5729
-5.011,-2.5001
-3.8062,-4.1052
-2.1138,-5.1834
-0.1507,-5.598
1.8331,-5.2915
3.5786,-4.3017
4.8573,-2.7593
5.5196,-0.8693
5.4838,1.135
4.7062,2.98
3.3708,4.4719
1.5778,5.3731
-0.4161,5.5537
-2.3485,5.0528
-3.9996,3.9196
-5.1197,2.2551
-5.5917,0.3056
-5.3402,-1.6859
-4.3958,-3.4547
-2.8933,-4.78
-1.0241,-5.5056
0.98,-5.4976
2.8638,-4.8124
4.3765,-3.4937
5.2883,-1.7132
5.5938,0.2637
5.1417,2.2189
4.0289,3.8895
2.3918,5.0451
0.4591,5.5657
-1.5322,5.3666
-3.3302,4.4878
-4.7086,3.0313
-5.475,1.1766
-5.5369,-0.8295
-4.8787,-2.7232
-3.5938,-4.2547
-1.8707,-5.2717
0.1078,-5.5813
2.0694,-5.1853
3.7765,-4.135
4.9918,-2.5381
5.528,-0.6105
5.4255,1.3872
4.5735,3.2014
3.1573,4.6182
1.3263,5.4345
-0.6758,5.5566
-2.5836,4.9467
-4.1716,3.7263
-5.2237,2.0181
-5.5998,0.0469
-5.2473,-1.9275
-4.2298,-3.6527
-2.6753,-4.9196
-0.7685,-5.547
1.2364,-5.4618
3.0831,-4.6749
4.5333,-3.2877
5.4015,-1.4779
5.5612,0.5206
5.0329,2.4538
3.8448,4.0715
2.162,5.1658
0.2019,5.5964
-1.7734,5.2747
-3.5414,4.338
-4.8437,2.8105
-5.5236,0.9218
-5.4939,-1.0848
-4.7584,-2.9525
-3.3851,-4.4055
-1.6268,-5.3585
0.3673,-5.5879
2.3065,-5.0836
3.9635,-3.9561
5.09,-2.2984
5.5886,-0.3568
5.3554,1.637
4.4344,3.4199
2.9361,4.7521
1.0721,5.4812
-0.9322,5.5219
-2.8196,4.8384
-4.3277,3.5201
-5.3014,1.7712
-5.5957,-0.2119
-5.1463,-2.1652
-4.0643,-3.8525
-2.4451,-5.038
-0.5114,-5.5766
1.4748,-5.3526
3.2845,-4.5119
4.6701,-3.0673
5.4463,-1.2227
5.5226,0.7758
4.9103,2.6816
3.6344,4.2238
1.9189,5.2547
-0.0568,5.5904
-2.028,5.2199
-3.7381,4.1697
-4.9684,2.5836
-5.5461,0.6639
-5.4337,-1.3365
-4.6169,-3.1692
-3.1982,-4.5865
-1.3745,-5.4163
0.6252,-5.565
2.5429,-4.9793
4.1421,-3.7687
5.1908,-2.0608
5.5919,-0.098
5.274,1.8827
4.2716,3.6212
2.7202,4.8949
0.81,5.4771
-1.182,5.4524
-3.0402,4.7029
-4.4795,3.3117
-5.3877,1.5272
-5.5802,-0.4709
-5.0304,-2.3958
-3.8743,-4.0283
-2.1973,-5.1168
-0.2531,-5.5943
1.7298,-5.3052
3.4866,-4.3516
4.7907,-2.8387
5.5148,-0.9729
5.4951,1.0328
4.7853,2.9088
3.4525,4.4091
1.6708,5.3276
-0.3153,5.5846
-2.261,5.1069
-3.9159,3.9807
-5.0467,2.3347
-5.5652,0.4064
-5.3703,-1.5874
-4.4655,-3.3792
-2.987,-4.7369
-1.1238,-5.4793
0.8786,-5.5107
2.7748,-4.8642
4.2925,-3.5571
5.2807,-1.8182
5.5798,0.1602
5.1365,2.106
4.097,3.8122
2.4689,4.9708
0.5624,5.5717
-1.4366,5.4067
-3.2543,4.5574
-4.6521,3.1174
-5.4525,1.2766
-5.525,-0.7246
-4.9392,-2.639
-3.6905,-4.2105
-1.9695,-5.2422
0.0057,-5.5953
1.9802,-5.2382
3.6998,-4.2038
4.9445,-2.629
5.5539,-0.717
5.4305,1.2831
4.6457,3.1269
3.245,4.564
1.4253,5.4084
-0.5737,5.5705
-2.4978,5.0033
-4.1075,3.8064
-5.1571,2.1022
-5.598,0.1493
-5.291,-1.8344
-4.3046,-3.582
-2.7649,-4.8699
-0.8701,-5.5301
1.1363,-5.4835
2.9907,-4.7204
4.4724,-3.3701
5.3735,-1.5764
5.5843,0.4192
5.0523,2.3498
3.9154,3.9972
2.2443,5.0971
0.3025,5.5583
-1.6782,5.3131
-3.4448,4.3809
-4.7903,2.8979
-5.4918,1.0207
-5.5027,-0.9822
-4.7941,-2.8538
-3.4927,-4.3774
-1.7246,-5.3278
0.2641,-5.5868
2.2201,-5.1411
3.8654,-4.0027
5.0485,-2.3918
5.5812,-0.459
5.3846,1.5382
4.4946,3.337
3.0306,4.7091
1.1753,5.4753
-0.8291,5.5248
-2.7242,4.8787
-4.279,3.6125
-5.2693,1.8689
-5.5942,-0.1094
-5.1881,-2.0719
-4.1345,-3.7771
-2.5338,-4.9864
-0.6119,-5.5482
1.3885,-5.4251
3.2103,-4.5839
4.6233,-3.1599
5.432,-1.3243
5.5589,0.6769
4.9631,2.5937
3.7149,4.1609
2.0174,5.224
0.0455,5.5993
-1.9316,5.2563
-3.6271,4.198
-4.9203,2.6741
-5.5471,0.7677
-5.4615,-1.2378
-4.6741,-3.0842
-3.2866,-4.5341
-1.4766,-5.4018
0.5227,-5.5756
2.4361,-4.9936
4.0725,-3.8438
5.1226,-2.143
5.5953,-0.2005
5.3078,1.7854
4.3372,3.5424
2.8093,4.8444
0.921,5.5237
-1.0861,5.4937
-2.9532,4.758
-4.4395,3.4095
-5.3589,1.6255
-5.5875,-0.3681
-5.0991,-2.315
-3.9502,-3.9588
-2.3034,-5.1043
-0.3554,-5.5887
1.6377,-5.3552
3.4035,-4.4109
4.7535,-2.9361
5.4961,-1.0736
5.5216,0.9336
4.8131,2.8058
3.5259,4.337
1.7738,5.3116
-0.2128,5.5834
-2.1698,5.1536
-3.8527,4.0633
-5.0378,2.4435
-5.5496,0.5081
-5.3713,-1.4813
-4.5145,-3.2881
-3.0654,-4.6686
-1.2253,-5.4643
0.7798,-5.5454
2.6853,-4.9142
4.2458,-3.6515
5.2549,-1.9181
5.596,0.0582
5.2176,2.028
4.1558,3.7274
2.5645,4.9345
0.6629,5.5451
-1.3388,5.4376
-3.1669,4.6121
-4.5816,3.1932
-5.4058,1.3705
-5.5649,-0.626
-4.9866,-2.5482
-3.7681,-4.1427
-2.0566,-5.1839
-0.0968,-5.5992
1.8835,-5.2738
3.6222,-4.2708
4.8733,-2.7066
5.5399,-0.8185
5.4726,1.1878
4.7025,3.0409
3.328,4.5038
1.5253,5.3858
-0.469,5.5482
-2.4092,5.0553
-4.0368,3.8813
-5.1462,2.2084
-5.5943,0.2517
-5.2941,-1.727
-4.3694,-3.5026
-2.854,-4.8182
-0.9704,-5.509
1.0329,-5.4882
2.9095,-4.7848
4.41,-3.4514
5.3436,-1.675
5.5738,0.316
5.1177,2.2673
3.9581,3.8948
2.3442,5.0705
0.4071,5.5852
-1.5887,5.3699
